,LOCATION,WIDTH,DEPTH,X_COORDINATE,HEIGHT,X,AISLE,Y,MAXIMUM_VOLUME,Z,CURRENT_ASSIGNED_SKU,CENTERAXIS,BAY
0,PX1111,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,183.0199,2.5261,0.3,1006035.0,X,0
1,ERGOPX1115,0.33412036251493127,0.33412036251493127,264.922,0.33412036251493127,267.3223,ER,181.7758,0.0373,0.0,,X,0
2,PX1119,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,180.5317,2.5261,0.3,1015188.0,X,0
3,PALPX1010,1.0,1.0,264.922,0.0373,262.5217,PX,178.8922,0.0373,0.0,,X,0
4,PALPX1014,1.0,1.0,264.922,0.0373,262.5217,PX,177.673,0.0373,0.0,,X,0
5,PALPX1018,1.0,1.0,264.922,0.0373,262.5217,PX,176.4538,0.0373,0.0,,X,0
6,PX1210,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,179.2876,2.5261,0.3,1002631.0,X,0
7,ERGOPX1214,0.33412036251493127,0.33412036251493127,264.922,0.33412036251493127,262.5217,ER,178.0435,0.0373,0.0,,X,0
8,PX1218,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,176.7994,2.5261,0.3,1014627.0,X,0
9,PX1311,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,179.2876,2.5261,0.3,1010290.0,X,0
10,ERGOPX1315,0.33412036251493127,0.33412036251493127,264.922,0.33412036251493127,267.3223,ER,178.0435,0.0373,0.0,,X,0
11,PX1319,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,176.7994,2.5261,0.3,,X,0
12,PX1511,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,175.5553,2.5261,0.3,,X,0
13,ERGOPX1515,0.33412036251493127,0.33412036251493127,264.922,0.33412036251493127,267.3223,ER,174.3112,0.0373,0.0,,X,0
14,PX1519,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,173.0671,2.5261,0.3,1007440.0,X,0
15,PX1410,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,175.5553,2.5261,0.0,,X,0
16,PX1414,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,174.3112,2.5261,0.0,1005076.0,X,0
17,PX1418,2.9017810622673332,2.9017810622673332,264.922,0.3,262.5217,PX,173.0671,2.5261,0.0,1022359.0,X,0
18,PX1610,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,171.823,2.5261,0.0,1011171.0,X,0
19,PX1614,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,170.5789,2.5261,0.0,1041542.0,X,0
20,PX1618,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,169.3348,2.5261,0.0,1013008.0,X,0
21,PX1711,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,171.823,2.5261,0.0,1012660.0,X,0
22,PX1715,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,170.5789,2.5261,0.0,1015207.0,X,0
23,PX1719,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,169.3348,2.5261,0.0,1012715.0,X,0
24,PX1911,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,168.0907,2.5261,0.0,1012663.0,X,0
25,PX1915,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,166.8466,2.5261,0.0,1034312.0,X,0
26,PX1919,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,165.6025,2.5261,0.0,1016872.0,X,0
27,PX1810,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,168.0907,2.5261,0.0,1041545.0,X,0
28,PX1814,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,166.8466,2.5261,0.0,1042941.0,X,0
29,PX1818,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,165.6025,2.5261,0.0,,X,0
30,PX2010,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,164.3584,2.5261,0.0,1044531.0,X,0
31,PX2014,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,163.1143,2.5261,0.0,1037723.0,X,0
32,PX2018,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,161.8702,2.5261,0.0,1003424.0,X,0
33,PX2111,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,164.3584,2.5261,0.0,,X,0
34,PX2115,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,163.1143,2.5261,0.0,1044529.0,X,0
35,PX2119,1.361915553281094,1.361915553281094,264.922,1.361915553281094,267.3223,PX,161.8702,2.5261,0.0,1000028.0,X,0
36,PX2210,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,160.6261,2.5261,0.0,1010497.0,X,0
37,PX2214,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,159.382,2.5261,0.0,1044429.0,X,0
38,PX2218,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,158.1379,2.5261,0.0,1037723.0,X,0
39,PX2410,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,156.8938,2.5261,0.0,1044531.0,X,0
40,PX2414,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,155.6497,2.5261,0.0,1044204.0,X,0
41,PX2418,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,154.4056,2.5261,0.0,1003426.0,X,0
42,PX2610,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,153.1615,2.5261,0.0,1003928.0,X,0
43,PX2614,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,151.9174,2.5261,0.0,1003423.0,X,0
44,PX2618,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,150.6733,2.5261,0.0,1041314.0,X,0
45,PX2810,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,149.4292,2.5261,0.0,1000029.0,X,0
46,PX2814,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,148.1851,2.5261,0.0,1028111.0,X,0
47,PX2818,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,146.941,2.5261,0.0,1044468.0,X,0
48,PX3010,1.361915553281094,1.361915553281094,264.922,1.361915553281094,262.5217,PX,145.6969,2.5261,0.0,1044530.0,X,0
